Reg,VIN,Auction type,Center,Hall Name,Auction Name,Title,Make,Model,CC,Start Date,Start Time,Derivative,Body Type,Mileage Warranted,Mileage,Year,Plate,CAP Clean,Grade,Mechanical Grade,Date Of Grading,Images,Inspection Report,Other Report,Other Report Name,lot Id,Lot,Colour,Non Runner,Fuel Type,Transmission,Doors,Former Keepers,V5 Status,V5,Service History Type,VAT Status,Service History Present,Vehicle Type,Equipment,Last Service,Last service mileage,Service history,No of services,Service through main dealers,Service Notes,Additional information,Keys,DVSA mileage,MOT Expiry Date,Declarations,Major Damage,Owned By Police,Used As Taxi,Reregistered,Change Of Registration,Modified Vehicle,Salvaged Vehicle,CAP Average,CAP New,CAP Retail,CAP Below,Vehicle base price when new,Total price when new,Description and prize,Sheet id,Auction House
VO13 OWD,VF7SA5FS0DW515411,Bristol,Bristol,,UKCGR Budget,CITROEN DS3 1.6 VTI 120 DSTYLE PLUS Hatchback,CITROEN,DS3,1.6,2026-01-27,00:00:00,VTI 120 DSTYLE PLUS,Hatchback,Yes,105268,2013,2013 (13 reg),840,4,B,2026-01-26T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312020, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312026, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312035, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312041, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312048, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312062, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312073, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312086, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312099, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674312114",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=VO13 OWD-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=VO13 OWD-GB,mechanicalreporturl,0,U043BR,RED,False,Petrol,Manual Transmission,3,5,True,Present,Invoice/Receipt,VAT Margin,True,Car,"Parking Sensor(s), Climate Control, 17"" Alloy Wheels, Tyre Inflation Kit, Privacy Glass",2023-05-31T00:00:00Z,90426,Invoice/Receipt,4,1,,"[{'cO2': '136 g/km', 'nox': '0.048 g/km'}, 'na']",2,"26k 2016-02-09T09:57:01Z, 35k 2017-03-10T10:44:05Z, 43k 2018-03-08T12:39:13Z, 52k 2019-03-22T15:30:54Z, 61k 2020-03-25T11:13:26Z, 70k 2021-04-01T10:11:50Z, 87k 2022-04-01T15:39:26Z, 90k 2023-04-18T11:53:38Z, 95k 2024-04-15T12:44:23Z, 105k 2025-11-04T10:41:17Z",2026-11-03T00:00:00Z,,False,False,False,False,False,False,False,410,"15,625","1,950",190,,,na,,BCA
GJ58 UVK,WF0PXXWPDP8D06483,Thurleigh,Thurleigh,,UKCGR Budget,FORD FOCUS 1.6 ZETEC Hatchback,FORD,FOCUS,1.6,2026-01-27,00:00:00,ZETEC,Hatchback,Yes,110051,2008,2008 (58 reg),820,5,C,2026-01-26T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179204, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179209, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179213, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179217, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179223, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179228, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179233, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179240, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179246, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674179252",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=GJ58 UVK-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=GJ58 UVK-GB,mechanicalreporturl,0,U087TH,SILVER,False,Petrol,Manual Transmission,5,10,True,Present,Invoice/Receipt,VAT Margin,True,Car,"Air Conditioning, Alloy Wheels, Steel Spare Wheel",2023-10-24T00:00:00Z,104476,Invoice/Receipt,1,0,,"[{'cO2': '159 g/km', 'nox': '0.050 g/km'}, ['Fault - bonnet release', 'Fault(ext) - key issue']]",1,"20k 2011-05-23T11:17:34Z, 25k 2012-05-07T09:35:04Z, 29k 2013-05-27T12:54:21Z, 34k 2014-05-26T09:00:38Z, 41k 2015-06-29T10:01:13Z, 49k 2016-07-01T11:31:46Z, 59k 2017-06-27T16:11:24Z, 69k 2018-06-19T13:37:18Z, 78k 2019-04-12T15:12:02Z, 85k 2020-09-10T10:25:29Z, 95k 2022-09-23T09:41:25Z, 104k 2024-03-04T17:40:06Z, 108k 2025-03-24T17:12:05Z",2026-03-23T00:00:00Z,,False,False,False,False,False,False,False,400,"15,645","1,795",200,,,na,,BCA
WJ61 LOF,W0LGS6EM8B1207299,Online Only,Bedford,,UKCGR Budget,VAUXHALL INSIGNIA 2.0 CDTI 160 SRI Hatchback,VAUXHALL,INSIGNIA,2.0,2026-01-27,09:00:00,CDTI 160 SRI,Hatchback,Yes,137059,2011,2011 (61 reg),810,4,A,2026-01-23T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676723, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676732, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676740, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676744, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676751, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676761, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676772, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676785, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676806, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673676822",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=WJ61 LOF-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=WJ61 LOF-GB,mechanicalreporturl,0,U001BD,SILVER,False,Diesel,Automatic,5,6,True,Present,Service Book,VAT Margin,True,Car,"Air Conditioning, Parking Sensor(s), Temporary Spare Wheel, 17"" Alloy Wheels",2025-11-21T00:00:00Z,136404,Service Book,15,3,,"[{'cO2': '159 g/km', 'nox': '0.099 g/km'}, 'na']",1,"20k 2014-08-27T15:19:49Z, 26k 2015-06-16T12:26:58Z, 36k 2016-05-25T13:35:51Z, 49k 2017-06-15T08:35:10Z, 68k 2018-06-11T12:50:22Z, 89k 2019-06-03T12:25:03Z, 103k 2020-06-12T10:42:59Z, 107k 2021-06-30T08:45:12Z, 112k 2022-06-10T10:24:47Z, 118k 2023-06-19T14:34:48Z, 126k 2024-06-10T09:13:10Z, 134k 2025-06-19T08:58:13Z",2026-06-29T00:00:00Z,changeOfRegistration,False,False,False,False,True,False,False,410,"25,945","1,875",170,,,na,,BCA
EO62 NXJ,WF0UXXLTRUCE76699,Online Only,Bedford,,UKCGR Budget,FORD KA 1.2 STUDIO S/S Hatchback,FORD,KA,1.2,2026-01-27,09:00:00,STUDIO S/S,Hatchback,Yes,67830,2012,2012 (62 reg),950,3,C,2026-01-26T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674183692, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674183699, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674183702, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674183717, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674183731, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674183749, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674183769, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674183789",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=EO62 NXJ-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=EO62 NXJ-GB,mechanicalreporturl,0,U002BD,WHITE,False,Petrol,Manual Transmission,3,5,True,Present,Service Book,VAT Margin,True,Car,na,2024-07-11T00:00:00Z,64038,Service Book,8,2,,"[{'cO2': '115 g/km', 'nox': '0.024 g/km'}, 'na']",2,"20k 2015-09-24T10:23:42Z, 26k 2016-09-23T11:48:41Z, 31k 2017-09-21T10:19:34Z, 36k 2018-07-03T09:45:21Z, 45k 2019-06-26T16:16:32Z, 57k 2021-08-04T16:31:47Z, 62k 2022-08-25T14:43:42Z, 63k 2022-11-01T15:02:44Z, 63k 2023-10-24T12:05:46Z, 64k 2024-11-04T14:39:50Z, 67k 2025-12-22T16:32:21Z",2026-12-21T00:00:00Z,,False,False,False,False,False,False,False,550,"8,670","1,995",220,,,na,,BCA
OY05 UEO,YV1MS384952101563,Online Only,Bedford,,UKCGR Budget,VOLVO S40 2.4 SE SPORT G/T Saloon,VOLVO,S40,2.4,2026-01-27,09:00:00,SE SPORT G/T,Saloon,Yes,78403,2005,2005 (05 reg),0,4,C,2026-01-26T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206148, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206161, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206176, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206186, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206199, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206213, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206232, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206250, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206268, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206287",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=OY05 UEO-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=OY05 UEO-GB,mechanicalreporturl,0,U003BD,BLACK,False,Petrol,Auto/Manual Mode,4,8,True,Present,No,VAT Margin,False,Car,"Parking Sensor(s), Climate Control, Leather Trim, Temporary Spare Wheel, 17"" Alloy Wheels, Sunroof",0001-01-01T00:00:00Z,0,,0,0,,"[{'cO2': '217 g/km', 'nox': '0.014 g/km'}, 'na']",1,"14k 2008-06-04T11:02:16Z, 19k 2009-06-02T11:03:53Z, 23k 2010-05-27T12:09:11Z, 25k 2011-06-02T08:51:04Z, 28k 2012-05-30T12:40:30Z, 32k 2013-05-23T16:54:13Z, 35k 2014-05-23T17:09:20Z, 38k 2015-05-20T10:05:17Z, 39k 2016-05-25T11:42:48Z, 39k 2017-06-09T09:30:08Z, 42k 2018-06-07T10:36:48Z, 47k 2018-11-02T16:47:18Z, 54k 2019-10-19T11:09:58Z, 59k 2020-10-21T09:31:13Z, 65k 2022-01-12T08:55:01Z, 68k 2023-01-18T14:52:04Z, 70k 2024-02-11T14:46:18Z, 77k 2025-06-04T15:31:34Z",2026-06-03T00:00:00Z,changeOfRegistration,False,False,False,False,True,False,False,,,,,,,na,,BCA
WU08 ZYK,TMBDF65J093007451,Online Only,Blackbushe,,UKCGR Budget,SKODA FABIA 1.4 TDI PD 80 3 Hatchback,SKODA,FABIA,1.4,2026-01-27,09:00:00,TDI PD 80 3,Hatchback,Yes,79750,2008,2008 (08 reg),710,3,A,2026-01-26T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196611, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196620, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196632, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196642, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196652, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196669, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196682, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196694, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196703, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674196716",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=WU08 ZYK-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=WU08 ZYK-GB,mechanicalreporturl,0,U004BB,BLACK,False,Diesel,Manual Transmission,5,3,True,Present,Service Book,VAT Margin,True,Car,"Climate Control, Alloy Wheels, Steel Spare Wheel",2024-09-26T00:00:00Z,75728,Service Book,16,6,,"[{'cO2': '120 g/km', 'nox': '0.198 g/km'}, 'na']",2,"25k 2011-06-13T12:39:11Z, 33k 2012-06-13T14:31:15Z, 40k 2013-06-12T12:32:04Z, 47k 2014-06-12T14:53:40Z, 52k 2015-09-30T08:48:31Z, 55k 2016-09-23T08:59:19Z, 57k 2017-09-27T09:55:00Z, 60k 2018-09-19T10:53:40Z, 62k 2019-09-27T08:18:59Z, 64k 2020-09-30T16:04:32Z, 66k 2021-09-27T07:52:13Z, 68k 2022-09-28T07:22:16Z, 72k 2023-09-29T11:44:23Z, 75k 2024-09-26T14:43:29Z, 78k 2025-09-26T08:22:32Z",2026-09-29T00:00:00Z,,False,False,False,False,False,False,False,320,"12,360","1,675",150,,,na,,BCA
HJ07 KZW,SB1KZ20E60F075969,Online Only,Blackbushe,,UKCGR Budget,TOYOTA COROLLA 1.6 VVTI COLOUR COLLECTION Hatchback,TOYOTA,COROLLA,1.6,2026-01-27,09:00:00,VVTI COLOUR COLLECTION,Hatchback,Yes,145971,2007,2007 (07 reg),970,5,B,2026-01-26T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053337, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053340, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053344, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053347, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053349, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053352, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053355, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053360, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053364, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674053368",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=HJ07 KZW-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=HJ07 KZW-GB,mechanicalreporturl,0,U005BB,BLUE,False,Petrol,Manual Transmission,5,2,True,Present,Digital Service,VAT Margin,True,Car,"Climate Control, Alloy Wheels, Steel Spare Wheel",2010-02-18T00:00:00Z,33574,Digital Service,3,0,,"[{'cO2': '168 g/km', 'nox': '0.010 g/km'}, 'na']",1,"33k 2010-02-18T12:07:35Z, 44k 2011-02-21T14:29:45Z, 56k 2012-02-22T12:31:27Z, 69k 2013-02-25T14:29:04Z, 83k 2014-02-24T13:43:04Z, 88k 2015-02-25T13:28:42Z, 91k 2016-02-23T11:45:50Z, 96k 2017-02-15T09:50:25Z, 107k 2018-02-23T14:52:47Z, 114k 2019-02-27T14:18:29Z, 123k 2020-02-26T16:12:34Z, 126k 2021-02-09T11:12:26Z, 130k 2022-02-18T16:45:52Z, 134k 2023-02-13T12:14:10Z, 139k 2024-02-23T15:22:40Z, 143k 2025-02-20T10:16:31Z",2026-03-01T00:00:00Z,,False,False,False,False,False,False,False,560,"12,207","1,925",190,,,na,,BCA
RJ59 JYU,U5YHB311LAL049378,Online Only,Blackbushe,,UKCGR Budget,KIA PRO CEED 1.4 STRIKE Hatchback,KIA,PRO CEED,1.4,2026-01-27,09:00:00,STRIKE,Hatchback,Yes,101819,2010,2010 (59 reg),730,4,A,2026-01-25T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023848, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023849, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023850, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023851, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023852, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023853, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023854, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023855, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023856, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023857",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=RJ59 JYU-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=RJ59 JYU-GB,mechanicalreporturl,0,U006BB,WHITE,False,Petrol,Manual Transmission,3,4,True,Present,Invoice/Receipt,VAT Margin,True,Car,"Air Conditioning, Alloy Wheels, Temporary Spare Wheel",2025-01-03T00:00:00Z,91409,Invoice/Receipt,13,11,,"[{'cO2': '139 g/km', 'nox': '0.039 g/km'}, 'na']",2,"17k 2013-02-01T11:32:22Z, 22k 2014-02-13T09:49:58Z, 27k 2015-02-23T16:37:33Z, 33k 2016-02-23T09:58:19Z, 39k 2017-02-20T11:46:00Z, 45k 2018-01-29T13:41:11Z, 50k 2019-01-18T17:02:33Z, 54k 2020-01-17T09:45:29Z, 58k 2021-01-25T16:53:30Z, 64k 2022-01-20T16:57:56Z, 73k 2023-01-24T16:01:33Z, 82k 2024-01-24T10:57:52Z, 91k 2025-01-03T15:17:38Z",2026-01-24T00:00:00Z,,False,False,False,False,False,False,False,330,"10,520","1,625",150,,,na,,BCA
LL11 WJY,W0L0AHM75B2126134,Online Only,Blackbushe,,UKCGR Budget,VAUXHALL ZAFIRA 1.7 CDTI 110 E/F ELITE MPV,VAUXHALL,ZAFIRA,1.7,2026-01-27,09:00:00,CDTI 110 E/F ELITE,MPV,Yes,114053,2011,2011 (11 reg),830,4,D,2026-01-26T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206223, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206233, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206240, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206251, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206262, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206276, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206296, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206315, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206336, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674206351",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=LL11 WJY-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=LL11 WJY-GB,mechanicalreporturl,0,U007BB,BLACK,False,Diesel,Manual Transmission,5,2,True,Present,No,VAT Margin,False,Car,"Parking Sensor(s), Climate Control, 7 Seats, Alloy Wheels, Privacy Glass",0001-01-01T00:00:00Z,0,,0,0,,"[{'cO2': '134 g/km', 'nox': '0.131 g/km'}, 'na']",1,"10k 2014-04-23T12:55:20Z, 16k 2015-04-11T09:56:04Z, 30k 2016-04-07T14:00:30Z, 50k 2017-04-03T14:04:19Z, 61k 2018-04-18T23:00:00Z, 72k 2019-04-09T16:01:37Z, 87k 2020-10-02T14:27:14Z, 92k 2021-10-21T14:14:07Z, 98k 2022-10-20T15:10:12Z, 102k 2023-10-12T13:13:21Z, 107k 2024-10-23T12:07:43Z, 112k 2025-10-10T14:36:45Z",2026-10-22T00:00:00Z,,False,False,False,False,False,False,False,430,"25,005","1,825",150,,,na,,BCA
W356 RLD,SALLPAMM3YA435750,Online Only,Blackbushe,,UKCGR Budget,LAND ROVER RANGE ROVER 4.0 V8 HSE StationWagon,LAND ROVER,RANGE ROVER,4.0,2026-01-27,09:00:00,V8 HSE,StationWagon,Yes,137806,00W,00W,0,5,E,2026-01-26T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023887, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023888, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023889, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023890, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023891, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023892, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023893, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023894, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023895, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674023896",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=W356 RLD-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=W356 RLD-GB,mechanicalreporturl,0,U008BB,GREY,False,Petrol,Automatic,5,6,True,Present,Service Book,VAT Margin,True,Car,"Climate Control, Leather Trim, 18"" Alloy Wheels, Sunroof, Privacy Glass",2013-08-13T00:00:00Z,107402,Service Book,12,1,,"[{'cO2': None, 'nox': None}, 'na']",2,"44k 2005-12-22T15:01:35Z, 53k 2007-01-04T16:33:01Z, 60k 2007-12-07T15:36:10Z, 69k 2009-01-05T16:44:35Z, 78k 2010-01-11T14:48:09Z, 87k 2011-01-05T15:05:43Z, 94k 2012-01-17T16:15:57Z, 101k 2012-12-20T08:54:53Z, 101k 2012-12-20T12:15:20Z, 110k 2013-11-21T13:46:17Z, 124k 2014-12-03T14:19:27Z, 131k 2016-05-04T14:32:24Z, 134k 2017-11-01T11:55:14Z, 135k 2018-11-06T08:39:52Z, 136k 2019-11-12T14:06:56Z, 136k 2020-11-02T12:38:59Z, 136k 2021-11-25T15:49:44Z, 136k 2022-11-24T10:23:11Z, 137k 2023-11-09T16:24:17Z, 137k 2024-11-07T12:40:05Z, 137k 2025-11-25T11:12:59Z",2026-11-24T00:00:00Z,changeOfRegistration,False,False,False,False,True,False,False,,,,,,,na,,BCA
EA62 CFG,ZFA31200000900594,Online Only,Blackbushe,,UKCGR Budget,FIAT 500 1.2 POP S/S Hatchback,FIAT,500,1.2,2026-01-27,09:00:00,POP S/S,Hatchback,Yes,86189,2012,2012 (62 reg),1175,5,A,2026-01-26T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030648, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030650, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030652, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030654, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030656, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030658, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030660, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030663, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030665, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=674030666",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=EA62 CFG-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=EA62 CFG-GB,mechanicalreporturl,0,U009BB,WHITE,False,Petrol,Manual Transmission,3,6,True,Present,No,VAT Margin,False,Car,"Half Leather Trim, Temporary Spare Wheel",0001-01-01T00:00:00Z,0,,0,0,,"[{'cO2': '113 g/km', 'nox': '0.032 g/km'}, 'na']",1,"20k 2015-09-29T07:30:42Z, 30k 2017-04-10T08:17:24Z, 40k 2018-04-09T16:01:16Z, 46k 2019-03-29T12:10:12Z, 54k 2020-03-30T12:12:06Z, 60k 2021-03-15T10:45:06Z, 67k 2022-04-21T13:56:47Z, 71k 2023-03-25T14:37:49Z, 73k 2024-04-03T11:26:13Z, 78k 2025-04-05T10:00:07Z",2026-04-20T00:00:00Z,changeOfRegistration,False,False,False,False,True,False,False,770,"9,905","2,395",380,,,na,,BCA
WP11 EJL,WVWZZZ1KZBW348559,Online Only,Blackbushe,,UKCGR Budget,VOLKSWAGEN GOLF 1.6 TDI 105 MATCH Hatchback,VOLKSWAGEN,GOLF,1.6,2026-01-27,09:00:00,TDI 105 MATCH,Hatchback,Yes,184079,2011,2011 (11 reg),1075,4,A,2026-01-23T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533056, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533061, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533072, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533084, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533098, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533125, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533148, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533162, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533173, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=673533188",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=WP11 EJL-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=WP11 EJL-GB,mechanicalreporturl,0,U010BB,BLACK,False,Diesel,Manual Transmission,5,1,True,Present,Service Book,VAT Margin,True,Car,"Air Conditioning, Parking Sensor(s), Alloy Wheels, Steel Spare Wheel",2023-07-26T00:00:00Z,162685,Service Book,9,4,,"[{'cO2': '119 g/km', 'nox': '0.147 g/km'}, 'na']",2,"49k 2014-07-09T09:40:32Z, 67k 2015-06-17T12:54:36Z, 84k 2016-07-12T11:58:27Z, 94k 2017-06-29T09:04:10Z, 108k 2018-07-07T08:25:23Z, 126k 2019-07-08T14:33:58Z, 139k 2020-07-15T09:49:19Z, 146k 2021-07-26T08:41:25Z, 154k 2022-07-28T10:01:36Z, 162k 2023-07-26T16:16:04Z, 171k 2024-07-24T08:34:31Z, 179k 2025-07-25T08:00:22Z",2026-07-27T00:00:00Z,,False,False,False,False,False,False,False,680,"19,640","2,350",290,,,na,,BCA
