Reg,Bidding History
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
VN71DVL,"['LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
YA21WOC,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
VN71DVL,"['LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
YA21WOC,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
VN71DVL,"['LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
YA21WOC,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
VN71DVL,"['LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
YA21WOC,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
VN71DVL,"['LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
YA21WOC,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
VN71DVL,"['LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
YA21WOC,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
VN71DVL,"['LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
YA21WOC,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['STARTING: £6,000', 'NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
VN71DVL,"['LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
YA21WOC,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
,"['NOW OFFERING: LOT 335', 'LOT 328 PROVISIONALLY SOLD TO LIVE £4,400', 'NOW TAKING BIDS AT £50', 'LIVE: £4,400', 'HALL: £4,300', 'NOW OFFERING: LOT 328', 'Welcome to Aston Barclay Donington Park - 17522']"
